label,prob_benign_mean,prob_benign_std,prob_no_tumor_mean
1,0.08028508,0.025955448,0.9197149
1,0.054158863,0.010234067,0.94584113
1,0.05277725,0.014697673,0.94722277
1,0.7132046,0.22275122,0.28679538
1,0.45170432,0.1586608,0.5482957
1,0.06258528,0.024384882,0.9374147
1,0.05271111,0.013899482,0.9472889
1,0.050660647,0.008804978,0.94933933
1,0.93596184,0.017073624,0.06403816
1,0.053806104,0.011357081,0.9461939
1,0.052634872,0.011380266,0.9473651
1,0.048016965,0.009477426,0.95198303
1,0.1005696,0.06668971,0.8994304
1,0.055888593,0.012403369,0.9441114
1,0.058209304,0.013622722,0.9417907
1,0.42873365,0.22685811,0.57126635
1,0.05919012,0.015698655,0.9408099
1,0.059931476,0.014803237,0.94006854
1,0.05379473,0.011563222,0.94620526
1,0.05473139,0.011561472,0.94526863
1,0.051245485,0.01263211,0.9487545
1,0.057310797,0.014351619,0.9426892
1,0.050930064,0.013297446,0.9490699
1,0.053063396,0.0105635505,0.9469366
1,0.052463334,0.014091638,0.94753665
1,0.95256895,0.0145032825,0.04743105
1,0.0773264,0.033564415,0.9226736
1,0.7504185,0.16805279,0.24958152
1,0.055333696,0.010878286,0.9446663
1,0.061836086,0.018768284,0.93816394
1,0.055080716,0.013597229,0.9449193
1,0.057506826,0.015286094,0.9424932
1,0.06599194,0.026455136,0.93400806
1,0.060952004,0.019034328,0.939048
1,0.056527615,0.013926638,0.9434724
1,0.05317389,0.012871685,0.9468261
1,0.053520743,0.0102826245,0.94647926
1,0.3963382,0.24881351,0.6036618
1,0.83423007,0.059116848,0.16576993
1,0.7300483,0.11872917,0.2699517
1,0.94427407,0.020312231,0.055725932
1,0.05297934,0.0105224,0.94702065
1,0.054874633,0.014891273,0.94512534
1,0.05153346,0.0120651545,0.94846654
1,0.057697263,0.013881363,0.94230276
1,0.057043035,0.016073857,0.942957
1,0.053221,0.00998266,0.946779
1,0.0676343,0.021915037,0.9323657
1,0.05868785,0.01742974,0.94131213
1,0.15543357,0.0741149,0.84456646
1,0.07856333,0.017875742,0.92143667
1,0.0605095,0.025818754,0.9394905
1,0.058318306,0.04072221,0.9416817
1,0.053561036,0.012431794,0.94643897
1,0.051710818,0.009305467,0.94828916
1,0.05260706,0.0101635745,0.94739294
1,0.06857283,0.015796132,0.9314272
1,0.1493312,0.06453477,0.8506688
1,0.8544849,0.07298888,0.14551508
1,0.06198382,0.02132944,0.9380162
1,0.054873202,0.012025802,0.9451268
1,0.35591167,0.2189164,0.6440883
1,0.046367098,0.014134868,0.9536329
1,0.05275755,0.014528891,0.94724244
1,0.058083463,0.012383691,0.9419165
1,0.10562614,0.03351203,0.89437383
1,0.051959857,0.016506158,0.9480401
1,0.06437256,0.019193076,0.93562746
1,0.111188985,0.043697525,0.888811
1,0.06423995,0.013545898,0.93576
1,0.05610061,0.011933009,0.9438994
1,0.06870381,0.076082505,0.93129617
1,0.054424223,0.01441631,0.9455758
1,0.3873321,0.18872997,0.6126679
1,0.06316308,0.018953392,0.9368369
1,0.051214114,0.010608746,0.9487859
1,0.05160519,0.010542447,0.94839483
1,0.051306665,0.012407633,0.94869334
1,0.052065123,0.010936959,0.94793487
1,0.049823504,0.012960153,0.9501765
1,0.05284868,0.012527445,0.9471513
1,0.051117484,0.013097405,0.9488825
1,0.62878036,0.24532282,0.37121964
1,0.07598256,0.01891275,0.9240174
1,0.054907143,0.013426319,0.94509286
1,0.05055918,0.011781759,0.94944084
1,0.094543986,0.0561537,0.905456
1,0.3872368,0.18885805,0.61276317
1,0.050146837,0.010850457,0.9498532
1,0.07750066,0.026911708,0.92249936
1,0.051746108,0.012660336,0.94825387
1,0.90493447,0.022607561,0.095065534
1,0.06034633,0.010843112,0.9396537
1,0.056903552,0.01088957,0.94309646
1,0.070441976,0.015049333,0.92955804
1,0.051374927,0.013073616,0.9486251
1,0.054178644,0.01395451,0.94582134
1,0.05341051,0.014419342,0.94658947
1,0.05358007,0.013835062,0.94641995
