label,prob_benign,prob_no_tumor
1,0.05276999,0.94723
1,0.08302027,0.91697973
1,0.09729026,0.9027097
1,0.05295836,0.94704163
1,0.051472735,0.9485273
1,0.057616312,0.9423837
1,0.05139464,0.94860536
1,0.05333792,0.94666207
1,0.05464823,0.9453518
1,0.054720778,0.94527924
1,0.13966937,0.86033064
1,0.42512098,0.57487905
1,0.051097084,0.9489029
1,0.052666068,0.94733393
1,0.04454557,0.9554544
1,0.052915312,0.94708467
1,0.052954488,0.9470455
1,0.08081845,0.9191815
1,0.055544805,0.9444552
1,0.052678414,0.9473216
1,0.055307716,0.94469225
1,0.05325564,0.9467444
1,0.046908665,0.9530913
1,0.04855681,0.9514432
1,0.05438157,0.94561845
1,0.09242187,0.9075781
1,0.055252742,0.94474727
1,0.26649895,0.7335011
1,0.9092566,0.09074342
1,0.052881397,0.9471186
1,0.07299951,0.9270005
1,0.054701556,0.94529843
1,0.055443168,0.94455683
1,0.050623078,0.94937694
1,0.049791683,0.9502083
1,0.05461765,0.94538236
1,0.050598443,0.94940156
1,0.05667568,0.9433243
1,0.048000354,0.95199966
1,0.052961458,0.94703853
1,0.052792,0.947208
1,0.059618562,0.9403814
1,0.05315035,0.94684964
1,0.05220788,0.9477921
1,0.05265049,0.9473495
1,0.06219539,0.9378046
1,0.054162163,0.94583786
1,0.052123733,0.9478763
1,0.5034946,0.49650538
1,0.05165534,0.94834465
1,0.045665286,0.95433474
1,0.053501435,0.9464986
1,0.053548455,0.94645154
1,0.04211105,0.95788896
1,0.047251463,0.95274854
1,0.05081705,0.9491829
1,0.14982197,0.850178
1,0.044972274,0.9550277
1,0.050734438,0.94926554
1,0.065579645,0.93442035
1,0.0431398,0.9568602
1,0.063773565,0.9362264
1,0.050350465,0.9496495
1,0.05745582,0.94254416
1,0.04861603,0.95138395
1,0.059262313,0.94073766
1,0.0758114,0.9241886
1,0.05260377,0.9473962
1,0.75007904,0.24992096
1,0.059911527,0.94008845
1,0.07209877,0.9279012
1,0.05499015,0.9450098
1,0.050702233,0.9492978
1,0.053651858,0.94634813
1,0.8243796,0.17562038
1,0.1509098,0.8490902
1,0.052749366,0.9472506
1,0.047863472,0.9521365
1,0.699424,0.30057597
1,0.88881147,0.11118853
1,0.8910325,0.10896748
1,0.04615898,0.95384103
1,0.052342363,0.94765764
1,0.051379967,0.94862
1,0.052661486,0.9473385
1,0.052239835,0.94776016
1,0.06577586,0.9342241
1,0.3188021,0.6811979
1,0.060244977,0.939755
1,0.050703496,0.9492965
1,0.70786613,0.29213387
1,0.07142035,0.9285796
1,0.054767586,0.9452324
1,0.48234138,0.5176586
1,0.050456822,0.9495432
1,0.052194543,0.94780546
1,0.03661561,0.9633844
1,0.109886706,0.8901133
1,0.04490029,0.9550997
1,0.05113598,0.94886404
1,0.15416412,0.84583586
1,0.056752097,0.9432479
1,0.2141974,0.7858026
1,0.052416198,0.9475838
1,0.037112433,0.9628876
1,0.05099175,0.9490082
1,0.052386194,0.94761384
1,0.05403646,0.94596356
1,0.051775586,0.9482244
1,0.31149003,0.68850994
1,0.052761782,0.9472382
1,0.05704392,0.9429561
1,0.58824867,0.41175133
1,0.09168592,0.9083141
1,0.044715706,0.9552843
1,0.5721714,0.4278286
1,0.05783866,0.9421613
1,0.054050952,0.9459491
1,0.06922695,0.930773
1,0.06354748,0.9364525
1,0.040509056,0.95949095
1,0.95708865,0.04291135
1,0.04950723,0.95049274
1,0.047934704,0.9520653
1,0.052742112,0.9472579
1,0.1008692,0.8991308
1,0.02864236,0.97135764
1,0.059559666,0.94044036
1,0.04337416,0.9566258
1,0.05191804,0.948082
1,0.05102108,0.9489789
1,0.049248863,0.9507511
1,0.06162252,0.9383775
1,0.049399182,0.9506008
1,0.052007306,0.9479927
1,0.90377176,0.09622824
1,0.043511353,0.95648867
1,0.046990827,0.9530092
1,0.94875306,0.05124694
1,0.036266077,0.9637339
1,0.07658191,0.9234181
1,0.18332484,0.8166752
1,0.21231127,0.78768873
1,0.053112935,0.9468871
1,0.93570554,0.06429446
1,0.052176286,0.9478237
1,0.04069117,0.9593088
1,0.034217514,0.96578246
1,0.15778074,0.84221923
1,0.7914926,0.20850742
1,0.05332282,0.9466772
1,0.053215764,0.94678426
1,0.4564279,0.54357207
1,0.050804395,0.9491956
1,0.052042864,0.94795716
1,0.09734832,0.90265167
1,0.04990279,0.9500972
1,0.050721783,0.94927824
1,0.072620556,0.9273794
1,0.05717933,0.94282067
1,0.039680064,0.96031994
1,0.061184168,0.93881583
1,0.05085335,0.9491466
1,0.050733708,0.9492663
1,0.0375077,0.9624923
