x,y,label,pred,correct
-9.007687,-9.525270,2,2,1
0.025134,-3.011594,2,1,0
-20.683092,4.977139,2,2,1
0.625900,6.590020,2,2,1
-27.172266,1.654595,2,2,1
-7.973710,2.646461,2,2,1
-2.743483,3.345631,2,2,1
10.071593,12.577992,2,1,0
-29.016087,10.826089,2,2,1
-18.425825,-1.825810,2,2,1
-12.694246,5.671654,2,2,1
3.155851,-12.500700,2,1,0
-24.735989,9.657412,2,2,1
-15.167741,-3.980373,2,2,1
-26.431025,5.300879,2,2,1
22.229105,-7.707871,2,0,0
15.404441,-4.226741,2,0,0
-7.665519,-1.736417,2,2,1
-0.515642,-0.667707,2,1,0
-25.799252,6.337689,2,2,1
-4.407714,-4.622020,2,2,1
3.352110,19.047997,2,1,0
-22.439829,-9.015105,2,2,1
-11.461366,-3.913379,2,2,1
-30.158012,9.071056,2,2,1
7.110755,0.224649,2,2,1
-3.769683,-11.445309,2,2,1
-28.633667,9.785231,2,2,1
-31.369150,2.923951,2,2,1
-23.829792,-6.696609,2,2,1
5.782618,-4.853765,2,1,0
-19.076956,12.621968,2,2,1
-27.364334,3.195744,2,2,1
-14.476721,8.285167,2,2,1
-17.966997,9.438299,2,2,1
-7.453972,17.157143,2,2,1
-15.413762,-3.007265,2,2,1
-5.559663,7.896922,2,2,1
-24.083878,5.605175,2,2,1
-21.685877,7.778415,2,2,1
1.138631,1.942991,2,2,1
-24.004169,2.753939,2,2,1
-31.994589,-0.070528,2,2,1
-0.539225,3.523246,2,2,1
-12.955800,1.732188,2,2,1
-25.426807,-3.242776,2,2,1
-1.685607,3.505682,2,2,1
-27.419321,9.928939,2,2,1
3.401197,18.550287,2,1,0
-31.863592,7.846172,2,2,1
-22.114641,10.114020,2,2,1
-29.047575,2.999131,2,2,1
-2.001901,-2.766642,2,1,0
-12.981732,15.900904,2,2,1
-24.901163,12.027719,2,2,1
-27.972269,5.199709,2,2,1
-25.193720,6.560649,2,2,1
-19.193544,-4.786553,2,2,1
-15.968966,12.218860,2,2,1
2.228022,-9.751399,2,0,0
-21.220852,5.459942,2,2,1
-27.903788,7.721256,2,2,1
-17.019192,9.826659,2,2,1
-8.787350,16.612162,2,2,1
6.555247,4.956962,2,2,1
-0.982216,-8.043303,2,2,1
-23.658789,-3.687796,2,2,1
-7.943798,15.135560,2,2,1
1.871742,-12.971375,2,1,0
-29.678947,5.314638,2,2,1
-22.318733,13.786157,2,2,1
-12.387699,14.214141,2,2,1
-11.782324,11.576323,2,2,1
-9.961716,14.947289,2,2,1
-16.217913,10.899101,2,2,1
-19.609901,8.230761,2,2,1
-3.367395,-0.016379,2,1,0
6.285936,-1.829180,2,0,0
-14.140901,-10.071090,2,2,1
-13.925781,2.143609,2,2,1
-23.178957,6.850402,2,2,1
-27.781069,-6.900812,2,2,1
6.043239,1.205451,2,2,1
-12.315865,-0.708801,2,2,1
-19.716387,7.178376,2,2,1
-23.125774,3.815299,2,2,1
-17.822474,6.347462,2,2,1
4.128505,2.062247,2,2,1
-3.479813,12.255311,2,2,1
-12.484989,10.621855,2,2,1
-29.674133,-1.388231,2,2,1
-17.376846,3.786803,2,2,1
-26.086437,2.248302,2,2,1
9.735707,-11.615198,2,0,0
