feature,kruskal_h,p_kruskal,p_malignant_vs_benign,delta_malignant_vs_benign,mean_malignant,mean_benign,p_malignant_vs_no_tumor,delta_malignant_vs_no_tumor,mean_no_tumor,p_benign_vs_no_tumor,delta_benign_vs_no_tumor,q_kruskal,q_malignant_vs_benign,q_malignant_vs_no_tumor,q_benign_vs_no_tumor
img_kurtosis,11.108944200344922,0.0038701109613328267,0.010079267888156959,0.10378072728133059,0.6004876190597404,0.31594483864369216,0.0010556798394988384,0.10874167283493709,0.27425541992066377,0.8294216473909695,0.006813437703848663,0.004837638701666033,0.014173970467720723,0.001357302650784221,0.8482721393771279
img_p90,8.912887620985984,0.011603554440831066,0.3233969560700636,0.03983012752265361,136.07538860103628,131.64383561643837,0.20522914175545826,-0.04205773501110289,137.3546428571429,0.0029938940040772966,-0.09384866275277234,0.014112431076686433,0.3549478786134844,0.21477468323245633,0.012247748198498032
gb_p90,8.221385244855433,0.016396414068374946,0.9608132655309034,-0.0019873660302363546,136.58808290155443,134.71552511415527,0.04012156770608844,-0.0681421169504071,139.18521428571427,0.015393368408725981,-0.07660632746249185,0.01941680613360191,0.9826499306566057,0.0462941165839482,0.046180105226177944
gb_glcm_asm,6.368694750692157,0.04140525907812266,0.028692685355519637,-0.08823668583055339,0.032577558410991254,0.02949403825826805,0.018228297619047738,-0.07838638045891932,0.029059638579795485,0.7061830870449818,0.011921069797782126,0.04777529893629538,0.03741608175710785,0.02278537202380967,0.7392695078479439
gb_glcm_energy,6.3014958195517465,0.042820089324528375,0.029101396922194996,-0.08801192419618142,0.16573858591226168,0.16367258523806105,0.019060875848864893,-0.07783493708364175,0.1625576616471473,0.700824118655291,0.012149380300065231,0.04817260049009442,0.03741608175710785,0.02318214630267352,0.7392695078479439
gb_entropy,4.515784768098456,0.10457064742858882,0.2486022626847928,-0.04653748787470131,7.041067876879602,7.094828104585025,0.03558298363109282,-0.0697779422649889,7.11194218964924,0.44866859028151096,-0.023956294846705806,0.11477266181186577,0.2868487646362994,0.04213774377366255,0.593826075372588
img_entropy,2.954581237468119,0.228255281942551,0.9860758747025598,-0.0007097735822272695,7.04727359510656,7.070875205632005,0.18975115433271494,-0.043538119911176905,7.103602984966967,0.16768727623868818,-0.04362361382909328,0.24455923065273324,0.9860758747025598,0.20330480821362315,0.2883827310478765
gb_std,2.727701004670962,0.2556744042663312,0.10781447148882664,0.06486147585586864,43.67626681886183,42.027028728450716,0.15111383317565863,0.047664692820133234,42.5035422488768,0.7064130852769241,-0.011911285061969994,0.2675662370229048,0.13476808936103332,0.1658566461684058,0.7392695078479439
img_glcm_asm,0.9485554040702482,0.6223344050379354,0.3427607714441201,-0.038268625641753616,0.03133789986073015,0.02777870610060041,0.5667765214240228,-0.019019245003700964,0.026910475746177644,0.5143987267295943,0.020616438356164384,0.6364783687887976,0.36724368369012866,0.5796578060018415,0.633333425278483
img_glcm_energy,0.8985471022997444,0.6380915241471694,0.3560526408090011,-0.037227624387820284,0.1632083391136055,0.1585925832909528,0.5982780814779912,-0.01749444855662472,0.15652682723018585,0.5094203296829711,0.02086105675146771,0.6380915241471694,0.3726132287536058,0.5982780814779912,0.633333425278483
